carrier_name,Total Flight Arrivals,Total Flight Cancellations,Total Flight Delays,Total Flight Diverted,% of Flight Arrivals,% of Flight Delays
Alaska Airlines Inc.,326821,6476,58155,855,50.466491661519456,5.619826326197232
Allegiant Air,133547,3632,26674,301,36.76954845814978,5.006635675189323
American Airlines Inc.,1175784,36843,225552,2697,31.913362104063186,5.2129176420515
Delta Air Lines Inc.,1233790,21558,166665,2402,57.23119027739122,7.402814028140281
Endeavor Air Inc.,327819,7852,51779,629,41.74974528782476,6.3311187933332045
Envoy Air,404441,16365,77733,1076,24.713779407271616,5.202951127577734
ExpressJet Airlines Inc.,37584,1923,8682,114,19.54446177847114,4.328956461644783
ExpressJet Airlines LLC,131479,6480,28540,385,20.28996913580247,4.606832515767344
Frontier Airlines Inc.,172324,5299,39157,223,32.52009813172297,4.400847868835712
Hawaiian Airlines Inc.,104208,804,11399,92,129.61194029850745,9.141854548644618
JetBlue Airways,371304,8229,84192,1077,45.12139992708713,4.410205245153934
Mesa Airlines Inc.,280676,10104,54734,729,27.77870150435471,5.128000876968612
PSA Airlines Inc.,361730,11724,70385,1009,30.85380416240191,5.139305249698089
Republic Airline,415800,12326,71615,987,33.7335713126724,5.806046219367451
SkyWest Airlines Inc.,1048814,27681,180397,3726,37.88931035728478,5.813921517541866
Southwest Airlines Co.,1691986,56523,259757,3120,29.93446915414964,6.513726290340587
Spirit Air Lines,259415,5226,45383,435,49.63930348258707,5.716127184187912
United Air Lines Inc.,774358,18130,149075,2027,42.71141753998897,5.194418916652691
